epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,526.263,1.68156,1.32953,1.8863,0.68991,0.46875,0.53085,0.21915,2.2,1.79543,2.32804,0.0008516,0.0008516,0.0008516
60,535.234,1.66649,1.3172,1.85271,0.73027,0.52632,0.60817,0.22365,2.5533,1.59137,2.75904,0.0008318,0.0008318,0.0008318
61,544.089,1.63836,1.28473,1.83274,0.65125,0.42105,0.52183,0.24191,2.31731,1.61555,2.4492,0.000812,0.000812,0.000812
62,552.882,1.68941,1.29749,1.84218,0.81718,0.57895,0.67606,0.25315,2.24912,1.66262,2.52683,0.0007922,0.0007922,0.0007922
63,561.747,1.6853,1.2788,1.87232,0.64465,0.57895,0.58309,0.22304,2.23443,1.83566,2.41544,0.0007724,0.0007724,0.0007724
64,570.731,1.64459,1.29727,1.84224,0.5638,0.63158,0.63535,0.2066,2.26489,1.52708,2.51047,0.0007526,0.0007526,0.0007526
65,579.627,1.64875,1.24631,1.81092,0.84261,0.68421,0.73678,0.30241,2.12917,1.61546,2.35947,0.0007328,0.0007328,0.0007328
66,588.495,1.6015,1.23572,1.79613,0.64669,0.47368,0.50623,0.23486,2.17355,1.74058,2.43706,0.000713,0.000713,0.000713
67,597.519,1.64018,1.26123,1.84325,0.83026,0.51563,0.62426,0.2624,2.22454,1.57465,2.58893,0.0006932,0.0006932,0.0006932
68,606.384,1.6059,1.22666,1.8058,0.7348,0.63158,0.71509,0.25064,2.23306,1.48196,2.47889,0.0006734,0.0006734,0.0006734
69,615.173,1.57242,1.21319,1.78138,0.82954,0.52632,0.62556,0.26319,2.14118,1.92262,2.37303,0.0006536,0.0006536,0.0006536
70,624.112,1.59146,1.21676,1.80467,0.78083,0.47368,0.56142,0.2295,2.25375,1.81209,2.55433,0.0006338,0.0006338,0.0006338
71,632.928,1.60653,1.2236,1.79672,0.60249,0.73684,0.6985,0.28701,2.14676,1.3633,2.48759,0.000614,0.000614,0.000614
72,641.75,1.60321,1.20426,1.76862,0.78054,0.56242,0.66633,0.28095,2.2694,1.4466,2.57773,0.0005942,0.0005942,0.0005942
73,650.445,1.55307,1.18979,1.75603,0.78484,0.63158,0.68886,0.29802,2.0379,1.71158,2.28269,0.0005744,0.0005744,0.0005744
74,659.37,1.5895,1.19918,1.77865,0.73923,0.52632,0.56655,0.24,2.09881,1.74119,2.43296,0.0005546,0.0005546,0.0005546
75,668.254,1.55296,1.18479,1.75353,0.66977,0.57895,0.62443,0.25757,2.2243,1.63496,2.4903,0.0005348,0.0005348,0.0005348
76,677.266,1.58098,1.21266,1.76114,0.67658,0.57895,0.57022,0.28363,2.20154,1.60631,2.49968,0.000515,0.000515,0.000515
77,686.024,1.54977,1.17409,1.73878,0.66108,0.52632,0.49778,0.21204,2.08893,1.73651,2.36959,0.0004952,0.0004952,0.0004952
78,695.027,1.53793,1.1575,1.71531,0.77801,0.55436,0.59928,0.29087,2.06557,1.77987,2.40697,0.0004754,0.0004754,0.0004754
79,703.866,1.56077,1.19685,1.73729,0.68507,0.52632,0.56655,0.26062,2.17059,1.80213,2.42896,0.0004556,0.0004556,0.0004556
80,712.727,1.48254,1.14692,1.71733,0.69441,0.47368,0.55222,0.24345,2.28787,1.80595,2.51714,0.0004358,0.0004358,0.0004358
81,721.58,1.54723,1.16987,1.73521,0.83497,0.52632,0.63953,0.28647,2.0852,1.57685,2.36893,0.000416,0.000416,0.000416
82,730.621,1.50562,1.17308,1.68891,0.57706,0.64679,0.59396,0.27049,2.2526,1.51228,2.55973,0.0003962,0.0003962,0.0003962
83,739.471,1.49521,1.14173,1.71078,0.88642,0.52632,0.61721,0.30037,2.06306,1.5883,2.36965,0.0003764,0.0003764,0.0003764
84,748.217,1.50202,1.16729,1.71467,0.55341,0.57895,0.58836,0.24379,2.16965,1.70173,2.41075,0.0003566,0.0003566,0.0003566
85,757.28,1.45916,1.11205,1.68465,0.67482,0.54691,0.57618,0.27767,2.1612,1.54643,2.45257,0.0003368,0.0003368,0.0003368
86,766.177,1.46878,1.09546,1.67426,0.69268,0.63158,0.65838,0.28283,2.31696,1.4794,2.50319,0.000317,0.000317,0.000317
87,775.008,1.46713,1.08816,1.6677,0.63129,0.63084,0.59182,0.26938,2.19637,1.50727,2.40183,0.0002972,0.0002972,0.0002972
88,783.865,1.45247,1.11492,1.65862,0.71755,0.63158,0.60964,0.29079,2.31128,1.5468,2.6082,0.0002774,0.0002774,0.0002774
89,792.809,1.46846,1.1319,1.65233,0.77994,0.56051,0.61391,0.2917,2.23525,1.6813,2.46889,0.0002576,0.0002576,0.0002576
90,801.579,1.43718,1.07721,1.63072,0.634,0.63158,0.5809,0.26208,2.10339,1.65271,2.37135,0.0002378,0.0002378,0.0002378
91,810.264,1.37415,1.04325,1.64593,0.59191,0.57895,0.58997,0.28088,2.18479,1.63982,2.48349,0.000218,0.000218,0.000218
92,818.766,1.36275,0.9725,1.64587,0.70706,0.42105,0.54285,0.23468,2.16392,1.64275,2.53064,0.0001982,0.0001982,0.0001982
93,827.393,1.3113,0.96347,1.60958,0.58237,0.57895,0.60862,0.2908,2.12048,1.59331,2.45621,0.0001784,0.0001784,0.0001784
94,836.019,1.29734,0.90846,1.59415,0.78758,0.47368,0.59264,0.28264,2.11482,1.70842,2.421,0.0001586,0.0001586,0.0001586
95,844.518,1.28919,0.90622,1.5793,0.74585,0.52632,0.57138,0.25872,2.3044,1.66991,2.69004,0.0001388,0.0001388,0.0001388
96,852.877,1.28079,0.90204,1.59237,0.84277,0.56507,0.61811,0.26681,2.32112,1.6545,2.72986,0.000119,0.000119,0.000119
97,861.342,1.26021,0.88752,1.56594,0.68459,0.57895,0.61504,0.27794,2.22418,1.68013,2.56268,9.92e-05,9.92e-05,9.92e-05
98,869.743,1.24563,0.88502,1.5681,1,0.46948,0.61726,0.30192,2.16194,1.64462,2.4727,7.94e-05,7.94e-05,7.94e-05
99,878.079,1.24528,0.87845,1.54016,0.78347,0.52632,0.64024,0.29525,2.18053,1.5674,2.52584,5.96e-05,5.96e-05,5.96e-05
100,886.498,1.20857,0.87216,1.51874,0.83885,0.54898,0.63581,0.30052,2.19985,1.58597,2.53151,3.98e-05,3.98e-05,3.98e-05
