epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,643.685,1.28886,0.99675,1.82135,0.95748,0.55,0.66382,0.42992,1.35764,1.03415,1.94535,0.0010199,0.0010199,0.0010199
101,650.082,1.32852,1.02867,1.85183,0.94149,0.52727,0.63997,0.43987,1.30977,1.04004,1.94323,0.00101,0.00101,0.00101
102,656.493,1.3114,1.01912,1.8406,0.90171,0.55,0.62912,0.42385,1.37738,1.07459,1.97462,0.0010001,0.0010001,0.0010001
103,662.918,1.34598,1.06282,1.83903,0.90123,0.55455,0.64904,0.44383,1.24654,1.02788,1.84571,0.0009902,0.0009902,0.0009902
104,669.326,1.27783,0.99523,1.81281,0.90857,0.55455,0.66075,0.44633,1.28583,1.04351,1.91792,0.0009803,0.0009803,0.0009803
105,675.715,1.34801,1.06873,1.83227,0.94723,0.54545,0.65493,0.44131,1.28851,1.02367,1.92175,0.0009704,0.0009704,0.0009704
106,682.1,1.25011,1.00202,1.79106,1,0.53585,0.63773,0.43183,1.35361,1.031,1.97807,0.0009605,0.0009605,0.0009605
107,688.715,1.26076,0.97813,1.80561,0.93822,0.5522,0.63606,0.417,1.38747,1.04775,2.0208,0.0009506,0.0009506,0.0009506
108,695.025,1.30162,0.98928,1.81351,0.98303,0.52651,0.63733,0.444,1.26202,1.04322,1.89865,0.0009407,0.0009407,0.0009407
109,701.308,1.27072,1.00918,1.78334,0.94481,0.54469,0.63541,0.44625,1.28509,1.0374,1.87994,0.0009308,0.0009308,0.0009308
110,707.613,1.26583,0.98229,1.77331,0.94462,0.5427,0.65057,0.43646,1.30746,1.03215,1.88536,0.0009209,0.0009209,0.0009209
111,713.92,1.23386,0.96032,1.76434,0.95317,0.52273,0.62391,0.44106,1.29122,1.06121,1.89023,0.000911,0.000911,0.000911
112,720.221,1.2372,0.97565,1.76205,0.9462,0.53636,0.63201,0.44385,1.3013,1.03135,1.92766,0.0009011,0.0009011,0.0009011
113,726.521,1.23781,0.94646,1.76074,0.87971,0.56364,0.64643,0.45214,1.26828,1.01456,1.85515,0.0008912,0.0008912,0.0008912
114,732.886,1.26184,0.97762,1.7679,0.97883,0.52273,0.63987,0.44834,1.29028,1.033,1.91529,0.0008813,0.0008813,0.0008813
115,739.454,1.25834,0.99351,1.78479,0.93441,0.55,0.65576,0.43895,1.3028,1.0068,1.93974,0.0008714,0.0008714,0.0008714
116,745.779,1.24477,0.96464,1.76943,0.88716,0.57273,0.65939,0.45265,1.25291,1.0103,1.86868,0.0008615,0.0008615,0.0008615
117,752.095,1.22936,0.94299,1.73556,0.95057,0.53182,0.64303,0.45351,1.26578,1.04682,1.87518,0.0008516,0.0008516,0.0008516
118,758.4,1.20634,0.9351,1.74999,0.96613,0.53636,0.63707,0.44458,1.28789,1.03175,1.8647,0.0008417,0.0008417,0.0008417
119,764.715,1.2678,0.99089,1.80039,0.93065,0.55,0.64821,0.44022,1.32711,0.99014,1.94788,0.0008318,0.0008318,0.0008318
120,771.007,1.23768,0.94547,1.75322,0.96476,0.53636,0.64418,0.45553,1.26731,0.98358,1.86738,0.0008219,0.0008219,0.0008219
121,777.3,1.23056,0.95112,1.75724,0.93618,0.53345,0.64284,0.43841,1.31782,0.99906,2.00051,0.000812,0.000812,0.000812
122,783.59,1.24209,0.95784,1.75743,0.98087,0.53182,0.62746,0.44301,1.2549,1.03164,1.86904,0.0008021,0.0008021,0.0008021
123,790.079,1.2386,0.99938,1.76288,0.93972,0.53182,0.63241,0.45882,1.2423,1.02114,1.82083,0.0007922,0.0007922,0.0007922
124,796.375,1.20533,0.94351,1.72089,0.97221,0.52273,0.63578,0.45592,1.24483,1.04498,1.80526,0.0007823,0.0007823,0.0007823
125,802.675,1.23221,0.97154,1.75262,0.9529,0.54091,0.63822,0.45182,1.25578,1.0207,1.85653,0.0007724,0.0007724,0.0007724
126,808.964,1.18483,0.88755,1.72346,0.93908,0.55,0.66749,0.45721,1.26109,0.96069,1.88069,0.0007625,0.0007625,0.0007625
127,815.288,1.20457,0.91853,1.72198,0.88162,0.57546,0.6632,0.46101,1.2396,0.98482,1.81017,0.0007526,0.0007526,0.0007526
128,821.6,1.18178,0.91887,1.69831,0.90473,0.57273,0.67177,0.46689,1.23558,0.96266,1.81064,0.0007427,0.0007427,0.0007427
129,827.927,1.16641,0.90538,1.68114,0.86632,0.57727,0.64617,0.45791,1.21982,1.01692,1.8303,0.0007328,0.0007328,0.0007328
130,834.244,1.20674,0.94312,1.72121,0.95401,0.52727,0.63839,0.46476,1.23776,0.99942,1.8359,0.0007229,0.0007229,0.0007229
131,840.764,1.16778,0.9068,1.69173,0.95403,0.55455,0.65224,0.46342,1.22459,1.01059,1.80884,0.000713,0.000713,0.000713
132,847.064,1.18597,0.91536,1.69984,0.89692,0.56818,0.64601,0.45774,1.2185,0.96311,1.84247,0.0007031,0.0007031,0.0007031
133,853.355,1.20299,0.93136,1.69573,0.94366,0.52727,0.64287,0.46509,1.22725,0.95577,1.8574,0.0006932,0.0006932,0.0006932
134,859.655,1.1665,0.90525,1.68163,0.96646,0.54091,0.63693,0.46668,1.22221,0.98866,1.79134,0.0006833,0.0006833,0.0006833
135,866.077,1.16613,0.91344,1.68963,0.97848,0.53182,0.65257,0.44995,1.29167,1.00615,1.86324,0.0006734,0.0006734,0.0006734
136,872.405,1.15708,0.90505,1.68518,0.87765,0.57273,0.65826,0.46563,1.25981,0.96943,1.88021,0.0006635,0.0006635,0.0006635
137,878.713,1.15051,0.87799,1.69604,0.86738,0.57727,0.64968,0.45867,1.2167,0.98038,1.8315,0.0006536,0.0006536,0.0006536
138,885.008,1.1541,0.92857,1.66906,0.92094,0.56364,0.66017,0.46554,1.2333,0.99397,1.81253,0.0006437,0.0006437,0.0006437
139,891.512,1.11274,0.84749,1.61759,0.84195,0.58113,0.652,0.45769,1.24725,0.98205,1.8535,0.0006338,0.0006338,0.0006338
140,897.804,1.15121,0.89311,1.64937,0.86191,0.57727,0.65645,0.47607,1.2002,0.97421,1.7685,0.0006239,0.0006239,0.0006239
141,904.16,1.16426,0.92256,1.66947,0.9695,0.53636,0.66209,0.46671,1.23964,0.97572,1.86694,0.000614,0.000614,0.000614
142,910.48,1.12591,0.88782,1.65325,0.96151,0.56774,0.67306,0.47232,1.20696,0.94473,1.77228,0.0006041,0.0006041,0.0006041
143,916.789,1.11944,0.86661,1.65004,0.94133,0.56818,0.66173,0.4864,1.16771,0.93198,1.75001,0.0005942,0.0005942,0.0005942
144,923.11,1.16692,0.92332,1.69082,0.94678,0.56603,0.65578,0.4714,1.16984,0.95273,1.76661,0.0005843,0.0005843,0.0005843
145,929.395,1.14246,0.89822,1.6615,0.9451,0.55455,0.6557,0.47909,1.17173,0.95998,1.77584,0.0005744,0.0005744,0.0005744
146,935.695,1.11663,0.86491,1.63795,0.96836,0.55641,0.65332,0.47377,1.19717,0.97696,1.7916,0.0005645,0.0005645,0.0005645
147,942.206,1.16887,0.90914,1.67509,0.91701,0.55455,0.65163,0.4688,1.20839,0.96188,1.84164,0.0005546,0.0005546,0.0005546
148,948.517,1.11763,0.86557,1.64442,0.89117,0.55909,0.64274,0.47268,1.17753,0.96622,1.75218,0.0005447,0.0005447,0.0005447
149,954.839,1.11728,0.88018,1.63734,0.92046,0.57859,0.65463,0.47653,1.17384,0.95092,1.7753,0.0005348,0.0005348,0.0005348
150,961.188,1.12945,0.87597,1.62434,0.90446,0.55909,0.65212,0.47393,1.18873,0.95614,1.77749,0.0005249,0.0005249,0.0005249
151,967.496,1.11974,0.87881,1.64933,0.92578,0.57273,0.65469,0.48215,1.18235,0.96905,1.76922,0.000515,0.000515,0.000515
152,973.799,1.15129,0.86523,1.64302,0.93852,0.55909,0.66623,0.48212,1.17225,0.96334,1.763,0.0005051,0.0005051,0.0005051
153,980.198,1.1285,0.88687,1.63678,0.91399,0.57727,0.6762,0.48574,1.1666,0.9285,1.77742,0.0004952,0.0004952,0.0004952
154,986.607,1.09608,0.83706,1.60549,0.92731,0.56364,0.65013,0.47197,1.20354,0.93269,1.80285,0.0004853,0.0004853,0.0004853
155,992.988,1.09751,0.85113,1.61431,0.95195,0.54029,0.6639,0.48833,1.15325,0.92804,1.72896,0.0004754,0.0004754,0.0004754
156,999.463,1.08572,0.82319,1.62067,0.94365,0.54545,0.65697,0.47932,1.17669,0.93848,1.78129,0.0004655,0.0004655,0.0004655
157,1005.75,1.09071,0.82726,1.60609,0.9386,0.5559,0.6616,0.4854,1.15782,0.94369,1.74366,0.0004556,0.0004556,0.0004556
158,1012.05,1.07869,0.83266,1.57507,0.97594,0.55324,0.66413,0.48029,1.16146,0.91793,1.73011,0.0004457,0.0004457,0.0004457
159,1018.36,1.0547,0.80901,1.59452,0.94504,0.54091,0.65068,0.4719,1.1991,0.96123,1.80494,0.0004358,0.0004358,0.0004358
160,1024.66,1.10024,0.8723,1.62069,0.92469,0.56818,0.66256,0.48829,1.14835,0.93028,1.7524,0.0004259,0.0004259,0.0004259
161,1030.95,1.05124,0.81331,1.57092,0.94644,0.56229,0.672,0.49393,1.14619,0.92786,1.7304,0.000416,0.000416,0.000416
162,1037.26,1.09044,0.84168,1.59077,0.9622,0.57273,0.67694,0.49621,1.1439,0.90926,1.72139,0.0004061,0.0004061,0.0004061
163,1043.61,1.07244,0.83511,1.58906,0.86095,0.60909,0.67978,0.4852,1.15817,0.92445,1.75436,0.0003962,0.0003962,0.0003962
164,1049.89,1.06628,0.82308,1.57999,0.97618,0.54545,0.65313,0.48611,1.14391,0.94887,1.7247,0.0003863,0.0003863,0.0003863
165,1056.39,1.0689,0.83497,1.56801,0.9841,0.55455,0.66395,0.48617,1.15853,0.93142,1.74085,0.0003764,0.0003764,0.0003764
166,1062.69,1.06513,0.81088,1.57537,0.85922,0.61031,0.6731,0.48432,1.18279,0.9159,1.76811,0.0003665,0.0003665,0.0003665
167,1069.08,1.04799,0.82641,1.58973,0.95771,0.55909,0.66429,0.49117,1.15456,0.91541,1.7596,0.0003566,0.0003566,0.0003566
168,1075.47,1.08823,0.87462,1.59816,0.96849,0.55883,0.65873,0.47796,1.15231,0.90372,1.76567,0.0003467,0.0003467,0.0003467
169,1081.87,1.06672,0.82559,1.58675,0.93571,0.56818,0.66235,0.48372,1.15662,0.92422,1.74795,0.0003368,0.0003368,0.0003368
170,1088.28,1.06423,0.8452,1.58191,0.96027,0.57727,0.6609,0.48385,1.14777,0.90588,1.73374,0.0003269,0.0003269,0.0003269
171,1094.62,1.06349,0.84074,1.57432,0.92915,0.57273,0.6527,0.47262,1.1872,0.94004,1.80804,0.000317,0.000317,0.000317
172,1100.94,1.03264,0.78245,1.53878,0.97626,0.56066,0.65706,0.47942,1.14143,0.9192,1.75917,0.0003071,0.0003071,0.0003071
173,1107.4,1.0781,0.85169,1.5917,0.94785,0.57827,0.65779,0.49094,1.11934,0.92257,1.73006,0.0002972,0.0002972,0.0002972
174,1113.71,1.00751,0.7787,1.53668,0.9692,0.55909,0.65127,0.4834,1.14333,0.92135,1.75777,0.0002873,0.0002873,0.0002873
175,1120.06,1.08955,0.85615,1.59222,0.94081,0.56818,0.64651,0.47695,1.15509,0.94315,1.78952,0.0002774,0.0002774,0.0002774
176,1126.35,1.01042,0.78172,1.54647,0.97622,0.55972,0.67183,0.49213,1.12229,0.89511,1.73573,0.0002675,0.0002675,0.0002675
177,1132.7,1.05675,0.79933,1.57222,0.91243,0.56831,0.66455,0.49482,1.12326,0.90078,1.72318,0.0002576,0.0002576,0.0002576
178,1139,1.0442,0.80196,1.56867,0.95534,0.56364,0.66756,0.48981,1.13624,0.91897,1.74089,0.0002477,0.0002477,0.0002477
179,1145.36,1.0271,0.80671,1.55812,0.97633,0.56251,0.67026,0.49484,1.11841,0.92554,1.72169,0.0002378,0.0002378,0.0002378
180,1151.72,1.06646,0.8192,1.57674,0.98378,0.55122,0.65887,0.48864,1.15057,0.91301,1.78182,0.0002279,0.0002279,0.0002279
181,1158.34,1.04474,0.80303,1.56533,0.93607,0.56818,0.65495,0.48744,1.13022,0.91552,1.74542,0.000218,0.000218,0.000218
182,1164.63,1.05259,0.82239,1.56213,0.95379,0.56298,0.6601,0.49511,1.12803,0.91934,1.72061,0.0002081,0.0002081,0.0002081
183,1170.94,1.00776,0.7974,1.52472,0.9918,0.54964,0.65852,0.49,1.13939,0.92687,1.73712,0.0001982,0.0001982,0.0001982
184,1177.29,1.02678,0.80892,1.54738,0.94766,0.55909,0.65841,0.49281,1.13537,0.92346,1.74286,0.0001883,0.0001883,0.0001883
185,1183.58,0.98222,0.77465,1.51527,0.95342,0.57727,0.66546,0.48908,1.13259,0.91972,1.72323,0.0001784,0.0001784,0.0001784
